"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.7","192.168.1.24","TCP","74","55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489861867 TSecr=0 WS=256"
"2","0.079432026","PCSSystemtec_83:29:c7","Broadcast","ARP","60","Who has 10.0.2.3? Tell 10.0.2.15"
"3","0.079812608","PCSSystemtec_4f:36:2f","PCSSystemtec_83:29:c7","ARP","60","10.0.2.3 is at 08:00:27:4f:36:2f"
"4","0.079812874","10.0.2.15","10.0.2.3","DHCP","330","DHCP Request  - Transaction ID 0x93e9cad4"
"5","0.087834140","10.0.2.3","10.0.2.15","DHCP","590","DHCP ACK      - Transaction ID 0x93e9cad4"
"6","1.026971839","10.0.2.7","192.168.1.24","TCP","74","[TCP Retransmission] 55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489862894 TSecr=0 WS=256"
"7","2.118964440","PCSSystemtec_a0:2b:f3","52:54:00:12:35:00","ARP","42","Who has 10.0.2.1? Tell 10.0.2.7"
"8","2.119097525","10.0.2.7","192.168.1.24","TCP","74","[TCP Retransmission] 55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489863986 TSecr=0 WS=256"
"9","2.119150194","52:54:00:12:35:00","PCSSystemtec_a0:2b:f3","ARP","60","10.0.2.1 is at 52:54:00:12:35:00"
"10","4.132222090","10.0.2.7","192.168.1.24","TCP","74","[TCP Retransmission] 55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489865999 TSecr=0 WS=256"
"11","8.193877993","10.0.2.7","192.168.1.24","TCP","74","[TCP Retransmission] 55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489870061 TSecr=0 WS=256"
"12","16.388174692","10.0.2.7","192.168.1.24","TCP","74","[TCP Retransmission] 55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489878255 TSecr=0 WS=256"
"13","32.565538738","10.0.2.7","192.168.1.24","TCP","74","[TCP Retransmission] 55667  >  1514 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=489894432 TSecr=0 WS=256"
"14","55.602112856","fe80::9b18:8ccb:2880:1d60","ff02::2","ICMPv6","62","Router Solicitation"
"15","59.104919211","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.1? Tell 10.0.2.7"
"16","59.104965598","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.2? Tell 10.0.2.7"
"17","59.104975365","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.3? Tell 10.0.2.7"
"18","59.104982972","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.4? Tell 10.0.2.7"
"19","59.104991765","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.5? Tell 10.0.2.7"
"20","59.104999516","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.6? Tell 10.0.2.7"
"21","59.105006851","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.8? Tell 10.0.2.7"
"22","59.105014030","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.9? Tell 10.0.2.7"
"23","59.105021244","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.10? Tell 10.0.2.7"
"24","59.105028443","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.11? Tell 10.0.2.7"
"25","59.105181037","52:54:00:12:35:00","PCSSystemtec_a0:2b:f3","ARP","60","10.0.2.1 is at 52:54:00:12:35:00"
"26","59.105181424","52:54:00:12:35:00","PCSSystemtec_a0:2b:f3","ARP","60","10.0.2.2 is at 52:54:00:12:35:00"
"27","59.105505579","PCSSystemtec_4f:36:2f","PCSSystemtec_a0:2b:f3","ARP","60","10.0.2.3 is at 08:00:27:4f:36:2f"
"28","59.108682269","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.14? Tell 10.0.2.7"
"29","59.108732720","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.15? Tell 10.0.2.7"
"30","59.108753742","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.16? Tell 10.0.2.7"
"31","59.108775727","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.17? Tell 10.0.2.7"
"32","59.108900354","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.18? Tell 10.0.2.7"
"33","59.108932296","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.19? Tell 10.0.2.7"
"34","59.109292724","PCSSystemtec_83:29:c7","PCSSystemtec_a0:2b:f3","ARP","60","10.0.2.15 is at 08:00:27:83:29:c7"
"35","59.112009760","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.22? Tell 10.0.2.7"
"36","59.112060814","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.23? Tell 10.0.2.7"
"37","59.210775057","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.26? Tell 10.0.2.7"
"38","59.210864756","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.27? Tell 10.0.2.7"
"39","59.210890080","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.28? Tell 10.0.2.7"
"40","59.210991011","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.29? Tell 10.0.2.7"
"41","59.211017424","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.30? Tell 10.0.2.7"
"42","59.211039044","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.31? Tell 10.0.2.7"
"43","59.211153171","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.32? Tell 10.0.2.7"
"44","59.211184531","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.33? Tell 10.0.2.7"
"45","59.211207227","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.34? Tell 10.0.2.7"
"46","59.211371792","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.35? Tell 10.0.2.7"
"47","59.211399197","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.36? Tell 10.0.2.7"
"48","59.211419165","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.37? Tell 10.0.2.7"
"49","59.215093196","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.40? Tell 10.0.2.7"
"50","59.215144703","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.41? Tell 10.0.2.7"
"51","59.347193548","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.44? Tell 10.0.2.7"
"52","59.347379256","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.45? Tell 10.0.2.7"
"53","59.347602057","PCSSystemtec_a0:2b:f3","Broadcast","ARP","42","Who has 10.0.2.46? Tell 10.0.2.7"
